,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,23.463,28.581,27.994,28.136,27.866,28.067,28.545,28.583,28.381,28.483,28.345,28.399,28.742,28.759,28.617,28.395,28.616,28.473,28.619,28.473
1,-49.931,-54.715,-54.327,-54.315,-54.072,-54.283,-54.737,-54.64,-54.518,-54.563,-54.51,-54.531,-54.873,-54.846,-54.751,-54.546,-54.742,-54.616,-54.732,-54.616
2,-4.1253,-4.8439,-4.6398,-4.6721,-4.6983,-4.6893,-4.7284,-4.857,-4.783,-4.8375,-4.7482,-4.7804,-4.783,-4.8254,-4.7785,-4.7612,-4.7888,-4.7701,-4.8002,-4.7701
3,-0.033905,-0.042452,-0.037172,-0.040982,-0.039977,-0.039797,-0.039747,-0.04208,-0.040877,-0.041948,-0.041604,-0.041171,-0.040628,-0.041834,-0.0407,-0.041004,-0.040914,-0.040777,-0.041351,-0.040777
4,-1.2558e-05,-1.6351e-05,-1.5437e-05,-1.606e-05,-1.5474e-05,-1.5259e-05,-1.5215e-05,-1.6341e-05,-1.5776e-05,-1.6326e-05,-1.6147e-05,-1.5888e-05,-1.5188e-05,-1.6025e-05,-1.5552e-05,-1.5706e-05,-1.5669e-05,-1.564e-05,-1.58e-05,-1.564e-05
5,4.145,4.2044,3.8272,3.9051,3.861,3.8824,3.9092,3.9038,3.9034,3.9004,3.891,3.8962,3.8991,3.901,3.8977,3.8963,3.8976,3.8962,3.8956,3.8962
6,0.18466,0.20674,0.2384,0.15603,0.19545,0.19707,0.19771,0.1975,0.19099,0.18792,0.1978,0.19507,0.19262,0.18825,0.19072,0.19183,0.19381,0.19329,0.1947,0.19329
7,0.045625,0.035876,0.034767,0.031248,0.036039,0.033366,0.030221,0.027207,0.0327,0.032369,0.034686,0.032233,0.031883,0.032976,0.032631,0.033247,0.032973,0.032823,0.032008,0.032823
8,0.014536,0.00098771,0.0019403,-0.00031099,-0.0002393,0.00070465,0.0036362,0.0056892,0.00076149,0.00074869,7.0069e-05,0.0015314,0.0017024,0.00070378,0.00096009,0.00061769,0.00087904,0.00096555,0.0016443,0.00096555
9,-0.00035762,0.00011633,4.9722e-05,0.00011104,3.7885e-05,0.00014074,0.0001878,0.0001989,6.182e-05,0.00014767,0.00019675,0.00019284,0.00017057,0.00016205,0.00015853,0.0001705,0.00022957,0.00014938,0.0001972,0.00014938
10,0.00019384,0.00012978,6.4462e-05,0.00014248,9.3198e-05,8.0659e-05,2.8468e-05,2.1148e-05,0.00016382,6.9747e-05,1.0112e-05,2.7647e-05,3.7581e-05,6.5293e-05,6.8098e-05,5.1344e-05,8.5549e-06,7.5012e-05,2.8453e-05,7.5012e-05
11,0.00056354,4.282e-05,4.278e-05,6.8233e-06,1.4684e-06,9.6738e-06,1.6101e-06,2.2193e-05,1.1402e-05,1.3847e-05,8.0359e-06,1.1085e-05,1.527e-05,9.6855e-06,1.072e-05,1.0026e-05,,1.0623e-05,1.2809e-05,1.0623e-05
12,4.5248e-05,-4.6177e-07,1.6974e-07,,,-9.2922e-07,,2.0179e-06,-9.3767e-07,-8.4035e-07,,-1.534e-06,-1.4139e-06,,-4.9857e-07,-1.3126e-06,,-1.2135e-06,-1.54e-06,-1.2135e-06
13,6.0278e-06,,,,,,,,,,,-4.5691e-08,,,,,,-1.8522e-07,,-1.8522e-07
