,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,904.86,893.37,896.96,893.37,888.69,888.69,891.25,890.95,891.17,891.17,891.11,891.11,892.55,892.55,891.02,891.73,890.92,892.05,891.36,891.36
1,-842.16,-831.65,-833.54,-831.65,-827.86,-827.86,-830.3,-829.94,-829.75,-829.75,-829.78,-829.78,-831.01,-831.01,-829.65,-830.2,-829.72,-830.75,-830.07,-830.07
2,-110.76,-108.56,-110.5,-108.56,-107.67,-107.67,-107.77,-107.78,-108.19,-108.19,-108.11,-108.11,-108.29,-108.29,-108.13,-108.29,-107.98,-108.08,-108.06,-108.06
3,-3.5314,-3.6685,-3.7466,-3.6685,-3.6094,-3.6094,-3.5858,-3.6503,-3.6461,-3.6461,-3.6385,-3.6385,-3.6517,-3.6517,-3.6469,-3.6503,-3.6292,-3.6326,-3.6364,-3.6364
4,-0.011201,-0.012536,-0.012603,-0.012536,-0.012377,-0.012377,-0.012168,-0.01256,-0.012451,-0.012451,-0.012407,-0.012407,-0.012497,-0.012497,-0.01246,-0.012493,-0.012285,-0.012384,-0.012386,-0.012386
5,6.3086,5.9161,5.9397,5.9161,5.9219,5.9219,5.9228,5.9103,5.9254,5.9254,5.936,5.936,5.9431,5.9431,5.9395,5.9409,5.9234,5.9568,5.9267,5.9267
6,3.0898,3.4672,3.2205,3.4672,3.4525,3.4525,3.4529,3.4731,3.454,3.454,3.4487,3.4487,3.4367,3.4367,3.443,3.4471,3.4506,3.43,3.4478,3.4478
7,0.10643,0.10028,0.09897,0.10028,0.098423,0.098423,0.096406,0.097834,0.098641,0.098641,0.099867,0.099867,0.10005,0.10005,0.10066,0.10147,0.09861,0.10136,0.099752,0.099752
8,0.014891,0.02385,0.023378,0.02385,0.024689,0.024689,0.025975,0.025103,0.024668,0.024668,0.024123,0.024123,0.02409,0.02409,0.023845,0.023492,0.024708,0.023438,0.024202,0.024202
9,0.0058025,-0.00016299,0.00018902,-0.00016299,-0.00019643,-0.00019643,-0.00016334,-0.0001778,-0.00017837,-0.00017837,-0.0001852,-0.0001852,-0.00016813,-0.00016813,-0.00019265,-0.00017317,-0.00016272,-0.00017655,-0.00019404,-0.00019404
10,-9.858e-05,-3.4523e-05,-9.2239e-05,-3.4523e-05,-5.8349e-06,-5.8349e-06,-4.0034e-05,-2.5995e-05,-1.9659e-05,-1.9659e-05,-1.2356e-05,-1.2356e-05,-2.9239e-05,-2.9239e-05,-5.717e-06,-2.2578e-05,-3.5637e-05,-2.0957e-05,-6.5208e-06,-6.5208e-06
11,-4.7999e-05,-3.4085e-06,3.9279e-06,-3.4085e-06,1.6418e-06,1.6418e-06,-4.0107e-06,-3.9874e-06,-1.6725e-06,-1.6726e-06,-8.4492e-07,-8.4492e-07,-1.8268e-06,-1.8268e-06,2.9213e-06,-1.0161e-06,-3.5505e-06,-4.6073e-07,-1.9814e-07,-1.9814e-07
12,-2.3768e-06,-9.5067e-07,,-9.5067e-07,-1.839e-06,-1.839e-06,,,-1.1251e-06,-1.125e-06,-1.4603e-06,-1.4603e-06,,,-2.7546e-06,,-9.1653e-07,,-1.4668e-06,-1.4668e-06
13,,,,,-5.5363e-06,-5.5363e-06,,,-3.6052e-06,-3.606e-06,-4.2168e-06,-4.2168e-06,,,-4.9784e-06,,,,-5.0726e-06,-5.0726e-06
14,,,,,-5.1867e-07,-5.1867e-07,,,-9.709e-07,-9.7024e-07,-8.7513e-07,-8.7513e-07,,,-4.798e-07,,,,-5.6692e-07,-5.6692e-07
